Kenteken,Voertuigsoort,Merk,Handelsbenaming,Vervaldatum APK,Datum tenaamstelling,Bruto BPM,Inrichting,Aantal zitplaatsen,Eerste kleur,Tweede kleur,Aantal cilinders,Cilinderinhoud,Massa ledig voertuig,Toegestane maximum massa voertuig,Massa rijklaar,Maximum massa trekken ongeremd,Maximum trekken massa geremd,Zuinigheidslabel,Datum eerste toelating,Datum eerste afgifte Nederland,Wacht op keuren,Catalogusprijs,WAM verzekerd,Maximale constructiesnelheid (brom/snorfiets),Laadvermogen,Oplegger geremd,Aanhangwagen autonoom geremd,Aanhangwagen middenas geremd,Vermogen (brom/snorfiets),Aantal staanplaatsen,Aantal deuren,Aantal wielen,Afstand hart koppeling tot achterzijde voertuig,Afstand voorzijde voertuig tot hart koppeling,Afwijkende maximum snelheid,Lengte,Breedte,Europese voertuigcategorie,Europese voertuigcategorie toevoeging,Europese uitvoeringcategorie toevoeging,Plaats chassisnummer,Technische max. massa voertuig,Type,Type gasinstallatie,Typegoedkeuringsnummer,Variant,Uitvoering,Volgnummer wijziging EU typegoedkeuring,Vermogen massarijklaar,Wielbasis,Export indicator,Openstaande terugroepactie indicator,Vervaldatum tachograaf,Taxi indicator,Maximum massa samenstelling,Aantal rolstoelplaatsen,Maximum ondersteunende snelheid,API Gekentekende_voertuigen_assen,API Gekentekende_voertuigen_brandstof,API Gekentekende_voertuigen_carrosserie,API Gekentekende_voertuigen_carrosserie_specifiek,API Gekentekende_voertuigen_voertuigklasse
29TKLX,Personenauto,MITSUBISHI,MITSUBISHI COLT,20210310,20200324,2990,hatchback,5,GRIJS,Niet geregistreerd,4,1332,930,1435,1030,500,750,C,20061014,20061014,Geen verstrekking in Open Data,,Ja,,,,,,,,2,4,0,0,,0,0,M1,,,in pers.ruimte op dwarsbalk by r. voorzitting,1435,,,e1*2001/116*0271*04,Z2413,AIFFA5A5B,0,0.07,250,Nee,Nee,,Nee,2245,0,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json
F536TL,Bromfiets,SYM,FIDDLE II,,20160602,,N.v.t.,2,N.v.t.,N.v.t.,1,50,95,249,99,,,,20160602,20160602,Geen verstrekking in Open Data,,Ja,45,,,,,2.3,,0,2,0,0,,0,0,L1,e,e,r. frame onder balhoofd,249,XS50QT,,e4*2002/24*1995*04,AF05W,04,0,0.02,132,Nee,Nee,,Nee,0,0,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json
